id,S1,S2,Pvalue
0,M,AG,0.038734425
1,FG,RB,0.044672604
2,FG,ZN,0.010577439
3,CU,SF,0.010265455
4,NI,PP,0.024477342
5,NI,L,0.028088355
6,RM,AG,0.022726116
7,OI,I,0.017838541
8,OI,V,0.008825443
9,OI,JM,0.015580209
10,OI,L,0.041118939
11,HC,PB,0.028858719
12,HC,ZN,0.006569914
13,J,PB,0.008268136
14,J,TC,0.043153797
15,J,ZN,0.001432017
16,I,RU,0.043780143
17,TA,PB,0.035785892
18,TA,RB,0.01557094
19,TA,MA,6.59E-06
20,TA,ZN,0.020002226
21,TA,BU,0.043500936
22,TA,PP,0.001231931
23,TA,RU,0.028486582
24,TA,AL,0.038053029
25,TA,L,0.002110412
26,PB,RB,0.012523868
27,PB,JM,0.004835968
28,RB,ZN,4.61E-05
29,RB,SF,0.047074764
30,V,JM,0.006648219
31,TC,ZN,0.042567027
32,SF,AL,0.015378965
